 Alm, Mit, Pox,Mcg, Vac
44,18,0,46,46
56,15,0,54,54
35,19,0,54,51
39,9,0,52,55
46,28,0,47,52
55,12,0,3,53
52,18,0,49,51
45,15,0,56,54
51,17,0,45,49
53,49,0,45,49
55,23,0,33,52
49,12,0,37,47
31,35,0,38,52
44,12,0,4,49
56,36,0,6,46
62,22,0,55,37
51,7,0,55,55
55,27,0,36,47
54,4,0,66,51
54,35,0,49,53
51,21,0,49,53
51,19,0,51,51
51,1,0,6,48
51,1,0,6,48
51,3,0,45,48
23,16,0,41,4
43,24,0,49,54
43,18,0,46,54
45,38,0,83,4
56,21,0,38,48
28,38,0,32,5
53,19,0,44,48
39,23,0,36,5
42,3,0,58,54
46,24,0,74,48
65,16,0,39,45
6,22,0,41,56
38,18,0,31,46
49,2,0,63,52
48,11,0,63,51
44,29,0,77,56
51,13,0,58,52
54,21,0,53,45
75,17,0,39,51
54,22,0,62,54
51,25,0,45,59
51,24,0,48,49
53,19,0,79,47
35,35,0,79,6
53,17,0,66,54
49,27,0,5,6
55,13,0,19,52
33,16,0,42,54
47,13,0,56,52
55,19,0,54,3
51,17,0,36,52
35,16,0,68,62
35,15,0,73,54
56,15,0,64,54
53,21,0,65,51
49,26,0,48,39
51,2,0,41,51
45,15,0,4,53
56,31,0,5,56
41,38,0,71,54
46,18,0,47,53
5,48,0,59,46
57,38,0,32,5
38,22,0,54,54
4,31,0,8,57
4,12,0,43,49
47,21,0,56,52
26,33,0,65,55
45,15,0,42,48
36,14,0,38,54
3,16,0,61,45
47,14,0,33,51
33,17,0,38,51
41,36,0,51,49
47,18,0,82,5
35,19,0,77,53
6,63,0,47,38
61,26,0,36,5
49,86,0,57,47
37,29,0,77,45
45,44,0,74,52
29,8,0,32,52
57,3,0,38,41
6,16,0,43,53
