 Alm, Mit, Pox,Mcg, Vac, Gvh, Nuc, Erl
34,31,0,85,57,69,3,5
53,44,0,47,53,56,22,5
47,21,0,53,53,49,22,5
34,19,0,7,53,57,27,5
67,7,0,42,42,43,25,5
53,18,0,47,47,44,29,5
53,23,0,4,44,49,26,5
55,31,0,42,43,42,22,5
49,22,0,42,55,28,34,5
47,22,0,47,53,5,45,5
57,15,0,56,54,55,25,5
48,13,0,32,53,6,22,5
56,25,0,46,43,56,22,5
57,17,0,47,52,55,66,5
52,13,0,37,42,55,8,5
38,22,0,46,39,48,45,5
53,33,0,8,51,69,22,5
36,37,0,52,52,65,34,5
68,36,0,19,49,16,21,5
53,15,0,64,53,31,31,5
36,33,0,4,51,43,22,5
51,2,0,47,52,56,59,5
58,18,0,48,38,55,69,5
34,13,0,57,53,51,27,5
32,13,0,23,53,37,22,5
51,26,0,54,52,5,22,5
24,2,0,27,49,41,22,5
22,18,0,25,46,35,22,5
51,29,0,39,54,45,22,5
55,24,0,33,45,47,67,5
38,18,0,37,51,4,22,5
47,18,0,43,47,47,22,5
57,6,0,66,19,43,33,5
6,18,0,33,51,46,26,5
54,11,0,51,6,5,22,5
57,17,0,54,44,6,22,5
38,28,0,45,53,57,31,5
58,4,0,54,46,47,27,5
45,23,0,46,48,41,22,5
6,23,0,4,52,39,31,5
58,18,0,52,34,47,11,5
58,18,0,52,34,47,11,5
51,19,0,5,53,45,25,5
51,18,0,57,51,55,43,5
46,28,0,44,45,43,29,5
5,28,0,46,5,5,37,5
49,46,0,77,38,73,22,5
46,21,0,38,52,58,22,5
51,16,83,32,55,68,22,5
52,17,0,27,49,46,44,5
45,13,0,52,48,45,22,5
45,15,0,37,49,29,22,5
67,37,0,37,56,48,62,5
54,18,0,44,49,59,22,5
36,24,0,48,54,65,31,5
45,22,0,59,45,49,31,5
59,25,0,73,51,52,22,5
5,17,0,5,46,43,47,5
51,16,0,23,53,13,51,5
56,16,0,52,55,31,22,5
42,18,0,49,58,6,28,5
54,11,0,6,51,62,22,5
53,2,0,55,4,47,22,5
51,24,0,47,54,32,27,5
59,27,0,53,45,25,26,5
54,32,0,31,53,5,31,5
48,18,0,25,42,33,33,5
47,15,0,55,47,46,22,5
61,21,0,61,55,5,54,5
51,22,0,5,46,52,37,5
49,24,0,62,51,33,42,5
46,17,0,56,49,52,73,5
55,16,0,52,53,56,39,5
51,18,0,53,52,48,27,5
51,26,0,51,51,48,27,5
51,18,0,53,51,48,27,5
63,11,0,44,49,39,26,5
49,45,0,51,48,5,22,5
47,12,0,38,47,42,53,5
6,14,0,19,2,66,25,5
21,14,0,25,41,42,22,5
53,39,0,7,59,58,22,5
38,17,0,4,57,65,22,5
63,25,0,36,3,37,22,5
41,19,0,49,48,55,31,5
55,19,0,3,53,45,4,5
32,3,0,88,52,72,33,5
52,21,0,45,54,57,38,5
38,35,0,46,49,61,22,5
67,61,0,55,49,41,14,5
72,26,0,28,49,18,25,5
53,17,0,66,47,65,66,5
56,29,0,48,51,54,43,5
49,22,0,33,55,37,22,5
32,11,0,58,49,43,22,5
46,24,0,74,5,82,31,5
58,22,0,75,49,76,22,5
58,16,0,58,51,37,22,5
55,21,0,51,52,59,22,5
41,32,0,43,52,28,22,5
55,13,0,41,55,49,22,5
46,0,0,23,43,29,31,5
45,32,0,25,4,48,22,5
55,44,0,38,48,34,26,5
54,38,0,61,54,54,29,5
37,33,0,48,44,17,36,5
5,19,0,47,51,47,26,5
52,16,0,55,49,38,64,5
61,17,0,41,5,39,61,5
53,16,0,41,55,56,26,5
27,28,0,78,56,73,22,5
31,17,0,31,52,4,22,5
49,16,0,44,48,65,31,5
46,37,0,48,46,44,36,5
46,22,0,5,53,49,25,5
47,16,0,62,52,42,22,5
52,18,0,5,52,45,22,5
47,21,0,59,47,51,22,5
49,2,0,39,53,47,26,5
52,24,0,49,5,48,22,5
49,42,0,59,52,48,22,5
5,43,0,57,53,35,22,5
5,44,0,61,53,52,22,5
52,13,0,49,51,51,33,5
56,15,0,45,52,4,22,5
48,11,0,63,51,43,22,5
53,34,0,52,52,45,44,5
55,33,0,54,55,48,4,5
45,25,0,55,51,79,22,5
63,2,0,58,5,51,42,5
57,1,0,63,52,58,33,5
56,15,0,54,57,67,33,5
65,14,0,41,49,59,33,5
5,15,0,47,49,38,47,5
52,13,0,33,51,17,75,5
59,17,0,42,51,5,22,5
55,4,0,54,53,55,22,5
57,15,0,31,5,31,22,5
5,19,0,38,44,42,22,5
62,26,0,33,55,36,22,5
5,19,0,38,44,42,22,5
58,19,0,47,44,56,64,5
52,18,0,32,48,32,34,5
5,14,0,28,5,27,28,5
57,25,0,41,57,46,38,5
51,16,0,44,58,54,22,5
51,16,0,44,6,55,22,5
53,15,0,4,49,56,22,5
42,26,0,79,6,79,22,5
43,24,0,8,54,83,22,5
51,12,0,55,51,69,22,5
53,12,0,47,51,46,25,5
63,22,0,57,49,29,27,5
59,21,0,52,47,49,22,5
53,17,0,41,48,42,58,5
5,19,0,45,53,36,7,5
42,43,0,49,5,5,36,5
49,27,0,44,52,49,22,5
53,17,0,25,45,26,22,5
54,18,0,49,35,46,22,5
54,17,0,42,51,37,22,5
75,21,0,42,48,45,22,5
53,27,0,63,49,54,22,5
48,27,0,54,44,43,41,5
5,13,0,4,52,44,39,5
39,47,0,55,5,39,83,5
41,53,0,59,48,48,56,5
49,15,0,49,53,38,25,5
52,29,0,53,55,45,38,5
53,12,0,33,5,46,27,5
51,25,0,57,54,36,25,5
44,26,0,59,5,64,22,5
48,34,0,5,52,5,27,5
6,2,0,52,52,5,22,5
57,17,0,59,52,46,22,5
53,19,0,53,47,42,22,5
55,17,0,59,52,46,25,5
5,58,0,61,5,73,22,5
56,17,0,5,35,43,22,5
61,33,0,36,52,52,37,5
48,12,0,52,54,51,31,5
51,25,0,56,54,46,22,5
49,27,0,47,59,46,22,5
36,26,0,43,52,48,22,5
57,28,0,5,57,44,22,5
62,3,0,46,38,47,22,5
46,19,0,59,54,7,44,5
5,13,0,27,54,43,31,5
44,17,0,42,51,46,42,5
47,28,0,49,56,36,54,5
48,19,0,34,46,42,31,5
63,22,0,6,5,57,49,5
54,52,0,53,49,44,38,5
56,23,0,48,6,39,22,5
56,9,0,47,5,59,22,5
58,44,0,4,41,28,22,5
45,14,0,5,53,47,32,5
6,18,0,55,51,49,22,5
5,9,0,55,55,44,22,5
6,25,0,66,69,37,22,5
48,55,0,51,52,49,58,5
55,14,0,44,52,35,22,5
52,15,0,6,55,37,26,5
58,12,0,48,49,58,22,5
32,15,0,57,52,54,25,5
32,16,0,4,51,36,27,5
52,16,0,5,51,55,31,5
47,22,0,65,52,63,27,5
54,16,0,25,43,4,22,5
52,21,0,63,5,56,22,5
42,36,0,56,49,68,22,5
48,17,0,57,52,47,26,5
51,13,0,46,47,52,22,5
57,17,0,5,59,4,22,5
35,25,0,78,49,71,22,5
52,17,0,64,54,56,47,5
29,36,0,10,52,8,22,5
56,55,0,51,46,39,64,5
36,9,0,69,56,66,22,5
36,15,0,49,52,53,27,5
41,27,0,39,49,63,22,5
43,22,0,45,57,51,22,5
27,37,0,77,49,78,22,5
41,36,0,88,43,75,22,5
4,2,0,49,48,49,26,5
6,28,0,57,52,53,45,5
49,27,0,53,51,52,22,5
46,22,0,33,53,49,33,5
46,29,0,45,42,39,22,5
37,15,0,26,53,3,25,5
46,18,0,28,47,41,39,5
43,16,0,45,52,5,28,5
57,28,0,24,51,25,11,5
55,29,0,46,49,61,22,5
36,22,0,22,54,53,31,5
47,14,0,25,56,41,68,5
37,18,0,43,54,41,31,5
47,25,0,4,54,44,56,5
38,12,0,46,5,59,22,5
46,36,0,29,51,39,22,5
43,19,83,4,48,4,22,5
46,2,83,57,52,52,41,5
37,12,0,77,49,7,26,5
32,27,0,47,5,61,3,5
49,23,0,71,3,51,32,5
49,49,0,59,36,48,32,5
52,7,0,58,46,63,22,5
41,17,0,3,51,68,22,5
32,2,0,74,55,73,22,5
36,29,0,55,51,35,22,5
31,16,0,35,56,32,22,5
39,24,0,67,51,61,22,5
39,19,0,69,48,57,39,5
53,27,0,47,47,41,25,5
34,18,0,39,49,56,22,5
42,21,0,51,46,38,34,5
39,14,0,32,45,45,22,5
35,33,0,75,49,73,28,5
56,18,0,54,46,54,29,5
42,28,0,71,43,64,22,5
36,16,0,28,53,48,22,5
45,32,0,58,52,44,37,5
36,26,0,52,44,65,22,5
56,15,0,64,56,44,22,5
47,17,0,48,53,58,74,5
44,37,0,4,53,4,25,5
38,16,0,38,53,56,22,5
43,25,0,8,52,79,22,5
42,18,0,63,54,65,27,5
63,19,0,47,52,4,32,5
32,21,0,83,51,94,22,5
33,23,0,39,47,33,22,5
45,13,0,5,45,63,32,5
5,29,0,2,51,6,22,5
43,17,0,29,55,26,3,5
52,23,0,92,53,66,22,5
37,2,0,49,53,56,22,5
34,15,0,86,53,78,22,5
57,14,0,38,53,44,52,5
41,28,0,72,44,73,22,5
47,19,0,8,49,73,22,5
35,23,0,49,57,55,22,5
44,53,0,63,52,71,22,5
3,27,0,6,55,68,22,5
49,17,0,4,51,43,36,5
46,13,0,51,48,59,22,5
34,2,0,52,51,46,25,5
51,15,0,34,54,24,4,5
46,14,0,35,54,29,66,5
49,16,0,58,47,67,28,5
3,31,0,85,55,85,42,5
59,44,0,41,6,25,69,5
4,45,0,3,48,37,41,5
39,19,0,38,46,4,62,5
58,19,0,47,57,38,22,5
44,2,0,5,49,61,22,5
46,23,0,41,5,45,7,5
46,54,0,46,51,62,27,5
58,69,0,52,5,53,22,5
5,14,0,41,53,47,37,5
52,15,0,25,56,4,28,5
38,39,0,58,54,56,57,5
47,18,0,39,48,58,22,5
47,18,0,38,44,47,26,5
5,48,0,63,51,57,22,5
62,25,0,51,59,45,22,5
54,19,0,59,48,67,6,5
54,11,0,6,46,61,22,5
57,17,0,48,45,61,22,5
5,18,0,71,46,5,22,5
54,25,0,61,5,48,22,5
64,41,0,38,44,32,11,5
66,35,0,38,43,4,11,5
43,17,0,81,53,62,22,5
61,4,0,47,48,43,47,5
36,19,0,67,56,57,22,5
54,13,0,65,53,54,22,5
47,13,0,58,48,61,22,5
48,27,0,43,53,67,22,5
54,21,0,43,53,39,27,5
52,46,0,6,53,4,22,5
6,18,0,57,51,47,22,5
57,24,0,63,49,67,22,5
36,39,0,8,56,88,33,5
47,34,0,74,42,67,22,5
45,3,0,72,54,61,25,5
57,18,0,4,56,45,26,5
51,4,0,86,55,74,22,5
41,28,0,79,59,57,22,5
56,18,0,37,48,36,26,5
48,67,0,45,52,58,22,5
59,19,0,41,58,46,27,5
44,8,0,54,52,48,27,5
47,37,0,81,56,85,22,5
56,55,0,49,42,42,25,5
54,4,0,63,5,53,22,5
46,46,0,5,46,58,22,5
4,43,83,67,5,62,22,5
52,41,0,42,53,47,32,5
64,16,0,33,52,43,52,5
39,33,0,61,58,72,22,5
54,18,0,42,56,35,22,5
55,46,0,55,52,53,22,5
54,43,0,67,53,62,22,5
54,16,0,35,51,58,22,5
5,17,0,48,53,54,22,5
56,1,0,42,49,43,22,5
53,16,0,49,48,47,27,5
48,43,0,71,59,59,22,5
71,21,0,4,54,42,32,5
5,12,0,42,52,51,46,5
61,23,0,48,6,64,22,5
5,15,0,32,53,57,22,5
52,28,0,59,55,5,25,5
31,33,0,61,56,72,22,5
54,53,0,52,45,56,22,5
58,49,0,58,49,58,26,5
38,33,0,46,48,43,28,5
62,12,0,42,4,31,22,5
45,45,0,49,52,46,22,5
49,21,0,35,54,66,25,5
6,12,0,52,55,4,22,5
58,23,0,77,48,79,22,5
58,25,0,78,53,74,22,10
59,24,0,57,4,41,22,5
75,17,0,38,55,51,22,5
75,17,0,38,55,51,22,5
48,14,0,4,47,56,22,5
57,36,0,45,52,27,18,5
38,8,0,36,53,68,25,5
6,33,0,27,37,36,31,5
53,2,0,23,44,2,22,5
49,16,0,36,51,24,22,5
59,22,0,38,46,48,22,5
54,26,0,41,41,24,22,5
52,9,0,5,48,51,25,5
49,79,0,46,49,43,63,5
59,12,0,61,49,3,27,5
54,32,0,45,57,56,22,5
39,27,0,71,52,56,22,5
41,22,0,63,51,61,22,5
38,18,0,58,52,53,22,5
55,12,0,32,52,47,22,5
51,4,0,77,54,8,22,10
41,36,0,81,39,82,22,5
51,13,83,69,52,6,22,5
47,25,0,74,57,72,22,5
36,3,0,35,53,56,25,5
54,29,0,51,53,58,22,5
48,17,0,5,47,5,26,5
52,2,0,45,5,42,25,5
47,13,0,42,5,39,27,5
47,35,0,27,49,51,28,5
34,13,0,49,52,31,22,5
54,17,0,49,5,42,36,5
51,16,0,34,47,66,33,5
5,8,0,74,55,53,31,5
38,15,0,69,55,48,22,5
48,38,0,44,52,51,22,5
48,24,0,58,52,45,37,5
61,13,0,38,54,49,22,5
63,17,0,47,31,49,26,5
49,16,0,21,51,38,45,5
5,58,0,57,53,59,22,5
56,16,0,46,56,45,22,5
56,19,0,56,54,44,22,5
49,16,0,61,54,54,42,5
52,17,0,66,49,62,22,5
58,2,0,44,57,41,25,5
37,12,0,43,48,45,22,5
3,17,0,45,51,57,22,5
53,28,0,67,51,51,22,5
47,22,0,35,5,49,28,5
35,33,0,35,5,53,32,5
61,13,0,42,14,32,27,5
49,3,0,5,47,45,4,5
37,37,0,7,48,73,31,5
32,37,0,81,51,76,22,5
33,38,0,85,55,56,25,10
47,26,0,59,53,53,31,5
38,36,0,7,54,73,22,5
45,17,0,48,48,43,37,5
45,54,0,84,28,87,22,5
54,14,0,43,5,45,31,5
42,33,0,77,57,6,22,5
57,18,0,36,42,44,22,5
51,24,0,43,46,38,33,5
38,18,0,46,49,4,22,5
55,65,0,68,46,5,31,5
48,17,0,5,5,45,26,5
43,17,0,44,54,53,75,5
56,2,0,62,48,64,33,5
58,17,0,46,61,32,25,5
62,19,0,5,57,34,22,5
57,24,0,48,5,51,22,5
54,66,0,5,49,62,22,5
42,22,0,7,51,53,28,5
35,21,0,47,52,6,22,5
55,2,0,43,47,83,4,5
49,33,0,79,48,74,22,5
59,47,0,5,49,49,36,5
59,13,0,43,41,39,43,5
58,2,0,41,52,54,22,5
64,14,0,45,54,38,22,5
61,33,0,58,38,52,11,5
56,21,0,64,5,64,22,5
54,41,0,38,51,54,22,5
51,43,0,51,49,48,22,5
57,12,0,53,53,4,32,5
5,27,0,63,55,6,22,5
52,45,0,6,5,51,27,5
51,49,0,53,54,61,27,5
51,17,0,36,6,44,19,5
49,24,0,45,46,21,31,5
55,24,0,29,51,34,22,5
51,18,0,64,46,76,22,5
64,39,0,75,46,66,32,5
54,14,0,39,59,28,22,5
57,18,83,49,54,27,22,5
54,16,0,5,49,5,22,5
61,2,0,45,62,46,22,5
53,16,0,49,49,45,31,5
52,1,0,55,53,59,22,5
45,19,0,33,54,38,37,5
59,35,0,48,55,45,3,5
6,2,0,26,54,28,31,5
53,23,0,46,51,46,22,5
55,15,0,28,57,36,22,5
5,28,0,74,49,72,27,5
43,18,0,53,53,54,31,5
53,77,0,47,52,54,36,5
39,18,0,37,51,51,27,5
54,13,0,49,58,71,22,5
48,36,0,46,48,37,22,5
48,13,0,75,57,69,4,5
5,3,0,69,54,7,22,5
54,25,0,46,46,62,22,5
5,15,0,68,48,39,37,5
49,32,0,48,5,56,22,5
38,15,0,36,55,33,36,5
56,18,0,48,58,48,22,5
51,26,0,61,52,55,22,5
52,3,0,5,56,62,22,5
44,31,0,68,51,53,22,5
53,14,0,61,43,39,26,5
59,8,0,39,51,16,27,5
56,18,0,51,5,55,38,5
55,28,0,31,46,39,31,5
53,17,0,54,51,53,39,5
5,28,0,49,43,67,22,5
53,19,0,44,41,45,28,5
58,1,0,46,48,41,22,5
58,22,0,57,51,51,22,5
5,22,0,37,47,58,22,5
64,37,0,5,37,36,33,5
57,29,0,45,44,5,11,5
57,36,0,61,44,38,21,5
57,36,0,61,44,38,21,5
53,27,0,35,47,41,29,5
47,19,0,34,5,48,3,5
55,24,0,44,48,5,22,5
65,18,0,31,46,6,22,5
54,24,0,38,54,38,22,5
52,18,0,36,45,56,16,5
45,26,0,63,43,64,22,5
45,26,0,63,43,64,22,5
67,12,0,43,45,33,23,5
10,8,0,35,13,21,1,5
47,41,0,56,5,35,22,5
52,19,0,66,69,6,22,5
47,2,0,73,72,6,22,5
56,21,0,78,69,82,22,5
46,5,0,47,51,56,22,5
61,22,0,52,45,43,22,5
65,28,0,41,59,49,57,5
6,36,0,53,5,57,22,5
62,43,0,37,44,3,39,5
58,8,0,41,51,46,28,5
5,28,0,51,48,4,27,5
33,18,0,39,53,46,22,5
55,18,0,46,56,49,22,5
55,57,0,53,46,51,22,5
49,18,0,6,53,51,38,5
49,18,0,85,51,66,22,5
46,14,0,58,51,56,22,5
44,18,0,46,46,47,22,10
56,15,0,54,54,51,31,5
35,19,0,54,51,44,27,5
39,9,0,52,55,55,25,10
46,28,0,47,52,37,99,5
55,12,0,3,53,33,38,5
52,18,0,49,51,49,25,5
45,15,0,56,54,59,22,5
51,17,0,45,49,65,22,5
53,49,0,45,49,41,31,5
55,23,0,33,52,42,43,5
49,12,0,37,47,47,31,5
31,35,0,38,52,42,22,5
44,12,0,4,49,75,22,5
56,36,0,6,46,64,27,5
62,22,0,55,37,4,28,5
51,7,0,55,55,57,22,5
55,27,0,36,47,32,43,5
54,4,0,66,51,65,22,5
54,35,0,49,53,6,46,5
51,21,0,49,53,48,22,5
51,19,0,51,51,48,27,5
51,1,0,6,48,46,31,5
51,1,0,6,48,46,31,5
51,3,0,45,48,45,44,5
23,16,0,41,4,42,22,5
43,24,0,49,54,31,22,5
43,18,0,46,54,41,22,5
45,38,0,83,4,81,26,5
56,21,0,38,48,51,31,5
28,38,0,32,5,36,4,5
53,19,0,44,48,4,27,5
39,23,0,36,5,5,22,5
42,3,0,58,54,64,22,5
46,24,0,74,48,82,22,5
65,16,0,39,45,39,22,5
6,22,0,41,56,35,79,5
38,18,0,31,46,51,31,5
49,2,0,63,52,64,25,5
48,11,0,63,51,43,22,5
44,29,0,77,56,7,22,5
51,13,0,58,52,55,22,5
54,21,0,53,45,51,22,5
75,17,0,39,51,45,22,5
54,22,0,62,54,6,27,5
51,25,0,45,59,76,22,5
51,24,0,48,49,44,22,5
53,19,0,79,47,56,35,5
35,35,0,79,6,62,28,5
53,17,0,66,54,54,22,5
49,27,0,5,6,46,22,5
55,13,0,19,52,41,25,5
33,16,0,42,54,51,22,5
47,13,0,56,52,49,22,5
55,19,0,54,3,35,22,5
51,17,0,36,52,51,22,5
35,16,0,68,62,68,22,5
35,15,0,73,54,59,22,5
56,15,0,64,54,61,22,5
53,21,0,65,51,58,22,5
49,26,0,48,39,49,27,5
51,2,0,41,51,48,22,5
45,15,0,4,53,45,48,5
56,31,0,5,56,47,26,5
41,38,0,71,54,79,22,5
46,18,0,47,53,41,22,5
5,48,0,59,46,56,22,5
57,38,0,32,5,3,25,5
38,22,0,54,54,44,3,5
4,31,0,8,57,82,25,5
4,12,0,43,49,6,29,5
47,21,0,56,52,71,22,5
26,33,0,65,55,62,22,5
45,15,0,42,48,71,22,5
36,14,0,38,54,37,22,5
3,16,0,61,45,76,41,5
47,14,0,33,51,38,47,5
33,17,0,38,51,67,22,5
41,36,0,51,49,46,22,5
47,18,0,82,5,63,22,5
35,19,0,77,53,68,43,5
6,63,0,47,38,5,16,5
61,26,0,36,5,48,16,5
49,86,0,57,47,59,22,5
37,29,0,77,45,74,22,5
45,44,0,74,52,75,22,5
29,8,0,32,52,29,22,5
57,3,0,38,41,48,11,5
6,16,0,43,53,4,39,5
